"accessno","author"
"0000000143","Go, Josiah"
"0000000067","Pasimio, Renato R."
"0000000071","Go, Josiah"
"0000000082","Go, Josiah"
"0000000077","Kotler, Philip"
"0000000077","Armstrong, Gary"
"0000000081","Mikojah, Allan A."
"0000022263","Go, Josiah"
"0000000084","Mcleod, Fiona"
"0000000084","Thomson, Richard"
"0000000086","Sugarman, Jeremy"
"0000000087","Banks, Alan"
"0000000087","Giliberti, John"
"0000000088","Muscari, Mary E."
"0000000089","Donna, Duell,1938"
"0000000089","Barbara, Martin"
"0000000090","Magris, Marzia"
"0000000090","Mccreery,  Cathy"
"0000000091","Streibel, Barbara J."
"0000000092","Porter, Robert S."
"0000000093","Gray, William S."
"0000000094","Brown, Graham, 1974"
"0000000094","Hepner, Karon"
"0000000095","Wild, John J."
"0000000098","Brown, Graham"
"0000000099","Davies, Tony"
"0000000099","Pain Brian"
"0000000105","Bates, Jane K."
"0000000139","H M Deitel"
"0000000139","P J Deitel"
"0000000147","Zitzewitz, Paul W."
"0000000149","Pineda, Dorina G."
"0000000150","No Authors Found."
"0000000151","Abel, Peter"
"0000000152","Leonard M. Kennedy"
"0000000152","Steve Tipps"
"0000000153","Crogham, Richard V."
"0000000154","Gervase B. Busche"
"0000000154","A. B. Rami Shani"
"0000000155","Alba, Rene"
"0000000157","Anton Chekhov"
"0000000158","Robert Sedgewick"
"0000000159","J. Stephen O'brien"
"0000000159","Margaret Mcbrien, Rsm"
"0000000161","A. J. Van Essen"
"0000000161","J. P. Menting"
"0000000161","T. Heron-muller"
"0000000162","Prof. Jose N. Nolledo"
"0000000163","Fe O. Aquino"
"0000000164","Christine B. Chanco"
"0000000165","Whitney French Botton"
"0000000166","Michael Broers"
"0000000167","Ramon B. Agapay"
"0000000168","June Jamrich Parsons"
"0000000170","Jane Beltran"
"0000000172","Hector De Leon"
"0000000173","Stephen Rossetti"
"0000000174","Anil Madaan"
"0000000174","Prashant Gupta"
"0000000156","Francisca Reyes Aquino"
"0000000175","The Calling"
"0000000175","Microsoft"
"0000000190","Reinhartz, Judy"
"0000000190","Beach, Don M."
"0000000191","Holman, Jack Philip"
"0000000192","Krames, Jeffrey A."
"0000000193","Martin, George Henry"
"0000000194","Ebbing, Darrel D."
"0000000195","Forlini, Gary"
"0000000197","Villanueva, Rene O."
"0000000198","Werle, Loukie"
"0000000200","Bursac, Wilma"
"0000000200","Scriven, Eileen"
"0000000201","Gust, Dodie"
"0000000202","Krowles, Desmond"
"0000000203","La Verdiere, Eugene"
"0000000204","Meier, John P."
"0000000205","Harrington, Wilfrid"
"0000000206","Esler, Mary K."
"0000000206","Esler, William K."
"0000000208","Buentrostro, Juan C."
"0000000209","Frost, Jenny"
"0000000210","Driver, Rosalind"
"0000000210","Leach, John"
"0000000210","Millar, Robin"
"0000000211","Morrow, Lesley Mandel"
"0000000212","Phye, Gary D."
"0000000212","Phye, Gary D."
"0000000213","Seefeldt, Carol"
"0000000214","Sperry, Smith Susan"
"0000000215","Bough, L. Sue"
"0000000216","Nicol, Gloria"
"0000000217","Martinez, Manuel F."
"0000000218","Ragans, Rosalind"
"0000000219","Mitter, Gene"
"0000000219","Ragans, Rosalind"
"0000000220","Kawatra, P.s."
"0000000221","Plate, Joan Kelly"
"0000000221","Eubanks, Eddye"
"0000000222","Silberberg, Martin S."
"0000000223","Crumpler, Kathy T."
"0000000223","Stith, Deborah Prothrow"
"0000000224","Faucher, David"
"0000000225","Cooper, David J."
"0000000225","Au, Kathryn H"
"0000000226","Cook, Grace"
"0000000226","Jones, Lesley"
"0000000227","Gorman, Michael"
"0000000230","Guiness Media"
"0000000208","Buentrostro, Juan C., Jr."
"0000000232","Click, Phyllis M."
"0000000236","Buentrostro, Juan C., Jr."
"0000000237","Buby, Bertrand, Sm"
"0000000237","Buby, Bertrand, Sm"
"0000000243","Papini, Roberto"
"0000000243","Buonomo, Vincenzo"
"0000000247","Linn, Matthew"
"0000000247","Fabricant, Sheila"
"0000000248","Long, Larry"
"0000000249","Mckenzie, John L."
"0000000250","Nicdao, Ruth Merilyn N."
"0000000250","Butaran, Rosario B."
"0000000251","Ornstein, Allan C."
"0000000252","Pfaffenberger, Bryan"
"0000000253","Digger, Phelps"
"0000000253","Walters, John"
"0000000255","La Putt, Juny Pilapil"
"0000000256","Pandile, Oliver"
"0000000257","Harper, Peter"
"0000000257","Fullerton, Laurie"
"0000000258","Hernandez, Amado V."
"0000000259","De Dios, Emmanuel S."
"0000000259","Rocamora, Joel"
"0000000261","Sevilla, Ignacio J."
"0000000261","Cruz, Carlos J."
"0000000262","Bautista, Lualhati"
"0000000263","Bautista, Lualhati"
"0000000264","Bautista, Lualhati"
"0000000267","Siegel, Sidney"
"0000000267","Castellan, John N."
"0000000268","Powell, Thomas A."
"0000000269","Powell, Thomas A."
"0000000270","Schildt, Herbert"
"0000000271","Jones, Anne G."
"0000000272","Martin, George H."
"0000000273","White, Chris"
"0000000273","Smith, Anthony"
"0000000206","Esler, William K."
"0000000206","Esler, Mary K."
"0000000277","Bucad, Merlinda"
"0000000278","Kearn, George"
"0000000279","Baclig, Ma. Josefina"
"0000000280","Casihan, Luvimi L."
"0000000280","Buban, Corazon"
"0000000281","Guillermo, Ramon"
"0000000282","San Pedro, Azucena"
"0000000282","Vandonover, Alicia"
"0000000284","Calderon, Jose F."
"0000000285","Caintic, Helen C."
"0000000285","Basas, Restituta N."
"0000000287","Antonio, Eleanor D."
"0000000287","Soriano, Celia D."
"0000000288","Jamero, Dolores F."
"0000000289","Acelajado, Maxima J."
"0000000289","Bundalian, Lolita B."
"0000000290","Hernandez, Amado V."
"0000000010","Jasmine, Julia"
"0000005001","Sheridan, Richard B."
"0000005002","Ochosa, Orlino A."
"0000005004","Miranda, Gregorio S."
"0000005008","Ellison, Katherine"
"0000005009","Tatad, Francisco S."
"0000050010","Santiago, Katherine"
"0000500010","Tapiador, Gerardo R."
"0000050011","Daza, Nora V."
"0000050012","Santiago, Aurea Jimenez"
"0000050013","Almonte, Andrew"
"0000050014","De Leon, Hector S."
"0000050016","De Guzman, Maria Odulio"
"0000050017","Alvarez, Santiago V."
"0000050017","Malay, Paula Carolina S."
"0000050017","Paredes, RubyR."
"0000050018","Parro, Alicia N."
"0000050018","Gulpeo, Roberto P."
"0000750019","Zaide, Sonia M."
"0000000144","Schumacher, John N."
"0000050021","Orosa, Sixto Y."
"0000050021","Orosa, Severino L."
"0000050021","Orosa, Rosalinda"
"0000050022","Flora, Alegria S."
"0000050022","Gasingan, Myrna de Leon"
"0000050023","Dionisia, Purita G."
"0000050024","Dionisio, Purita G."
"0000050025","Caday, Jane G."
"0000050025","Dionisio, Purita G."
"0000050026","Oandasan, Rebecca S.J."
"0000050027","Dellosa, Zenaida T."
"0000050028","Agda, Milagros G."
"0000050029","Fabregas, Aleta C."
"0000050029","Salvador, Nadia Dane O."
"0000050030","Caceres, Jocelyn R."
"0000050030","Macasio, John J."
"0000050031","Santiago, Jocelyn H."
"0000050032","Arcinas, Raquel S."
"0000050032","Padua, Shirley"
"0000050033","Jalandoni, Celestina N."
"0000050034","Ordona, Leonor L."
"0000050034","de Castro, Felicitas V."
"0000050035","Sy, Mary Joy H."
"0000050035","Lenon, Nolan M."
"0000050035","Lim, Lorraine H."
"0000050036","Sy, Mary Joy H."
"0000050036","Lenon, Nolan M."
"0000050036","Lim, Lorraine H."
"0000050037","Abando, Araceli M."
"0000050038","Canlas, Rosita E."
"0000050039","Escober, Rosicar E."
"0000050039","Monzon, Demelyn L."
"0000050040","Espiritu, Violeta"
"0000050041","Gonzalo, Bernardita"
"0000050042","Villanueva, Ma. Jamela F."
"0000050043","Javier, Jesus Q."
"0000050044","Munoz, Medardo C."
"0000050045","Espiritu, Violeta"
"0000007000","Padasas, Teresita P."
"0000007000","Arlette R. Paguingan"
"0000007001","Domingo, Lorna"
"0000007001","Cecille B. Corsino"
"0000007003","Art Test"
"0000007003","Test"
"0000007005","Punsalan, Twila G."
"0000007007","Calamlam, Josephine M."
"0000007007","Flora, Alegria S."
"0000007008","Domingo, Lorna"
"0000000709","Domingo, Lorna"
"0000007010","Domingo, Lorna"
"0000007014","Cruz, Cecilia D."
"0000007014","Cacho, Rebecca G."
"0000007015","Singson, Elvira B."
"0000007016","Borlagdan, Jean B."
"0000007016","Dela Cruz, Susan P."
"0000007017","Balagtas, Manilyn U."
"0000007017","Natal, Lourdes L,."
"0000007018","Borlagdan, Jean B."
"0000007019","Calamlam, Josephine N."
"0000007019","Mallari, Josephine M."
"0000007020","Almonte, Andrew Maria"
"0000007021","Daza, Nora V."
"0000007022","Domingo, Lorna"
"0000007022","Corsino, Cecille B."
"0000007023","Padasas, Teresita P."
"0000007023","Paguingan, Arlette R."
"0000007024","Dickens, Charles"
"0000007025","Cooper, Fenimore"
"0000007026","Coville, Bruce"
"0000007027","Coville, Bruce"
"0000007028","Kendall, Carol"
"0000007030","Gardner,  J.J."
"0000007031","Gilmour, H.B."
"0000007032","Coville's, Bruce"
"0000007033","Gray, Elizabeth Janet"
"0000007034","Shakespeare, William"
"0000007035","Shakespeare, William"
"0000007036","Samson, Alexander R."
"0000007036","Caceres, Jocelyn S."
"0000007037","Shakespeare, William"
"0000007038","Blyton, Guid"
