"accessno","bibliogra"
"0000000001",
"0000000002",
"0000000010","Jasmine, Julia. Teaching With Multiple Intelligence. Usa : Teacher Created Materials, c1996."
"0000000064","Go, Josiah. Fundamentals of marketing in the Philippines. [s.n.] : [s.l.], c2001."
"0000000065","Pasimio, Renato R. Partnership and corporation. 2000 ed. Mandaluyong City : National Book Store, c20"
"0000000067","Pasimio, Renato R. [et al.] Partnership and corporation. 2000 ed. Mandaluyong City : National Book Store, c2000."
"0000000070",". Marketing Mix : Strategy In The Philippine Setting. [s.n.] : [s.l.], c1992."
"0000000071","Go, Josiah [et al.]. Fundamentals Of Marketing In The Philippine Setting. Quezon City : Philippine Marketing Association of Marketing Educators, c2001."
"0000000073","Petersen, Richard. Red Hat Linux: The complete reference. 2nd ed. New York : Mc Graw-Hill, c2002."
"0000000074","Sebesta, Robert. Concepts of programming language. 4th ed. Massachusetts : Addison-Wesley Publishing Company Inc., c1999."
"0000000077","Kotler, Philip [et al.]. Principles Of Marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000081","Mikojah, Allan A. [et al.] Drug Dosage Corporation : For The Emergency Care Provider. New Jersey : Prentice Hall, c2002."
"0000000082","Go, Josiah. Fundamental Managerial Accounting Concepts. 2nd Ed. ed. Boston : McGraw-Hill, c2003."
"0000000084","Mcleod, Fiona [et al.]. Non-stop Creativity And Innovation:  How To Generate Winning Ideas. London : The McGraw-Hill Co., c2002."
"0000000086","Sugarman, Jeremy. 20 Common problems-ethics in primary case. New York : McGraw-Hill, c2000."
"0000000087","Banks, Alan [et al.]. Budgeting. 2nd ed. Boston : McGraw-Hill, c2003."
"0000000088","Muscari, Mary E. Pediatric Nursing. 3rd Ed. ed. Philadelphia : Lippincott Williams & Wilkins, c2003."
"0000000089","Donna, Duell,1938 [et al.]. Clinical Nursing Skills : Basic To Advanced Skills. 5th Ed. ed. New Jersey : Prentice---Hall Health, c2000."
"0000000090","Magris, Marzia [et al.]. An Introduction To Food And Beverage Studies. New Ed. ed. Australia : Hospitality Press, c1995."
"0000000091","Streibel, Barbara J. The Managers Guide To Effective Meetings. New York : McGraw -Hill, c2003."
"0000000092","Porter, Robert S. Essentials Of Paramedic Care : Workbook. New Jersey : Prentice - Hall, c2003."
"0000000093","Gray, William S. Hotel And Motel Management And Operations. 4th Ed. ed. New Jersey : Prentice-Hall, c2001."
"0000000094","Brown, Graham, 1974 [et al.]. The Walters Handbook. 2nd Ed. ed. Australia : Hospitality Press, c2000."
"0000000095","Wild, John J. Financial Accounting : Information For Decisions. 2nd Ed. ed. Boston : Mcgraw-Hill, c2003."
"0000000098","Brown, Graham. Brown, Graham, 1947-. 2nd ed. Australia : Hospitality Press, c2000."
"0000000099","Davies, Tony [et al.]. Business Accounting And Finance. London : McGraw-Hill, c2002."
"0000000104","Sugarman, Jeremy. 20 Common problems-ethics in primary case. New York : McGraw-Hill, c2000."
"0000000105","Bates, Jane K. Becoming An Art Teacher. Australia : Wodsworth Thomson Learning, c2000."
"0000000106","Abel, Peter. Ibm Pc Assembly Language And Programming. Fourth Edition ed. Singapore : Prentice Hall, c1999."
"0000000107","Go, Josiah [et al.]. Principles Of Marketing. 8th ed. Singapore : Prentice Hall, c1999."
"0000000108","Streibel, Barbara J. The Managers Guide To Effective Meetings. New York : McGraw -Hill, c2003."
"0000000112","Schumacher, John N. The Propaganda Movement : 1880 - 1895 : The Creation Of A Filipino....... Rev. ed. Quezon City : ADMU Press, c1997."
"0000000113","Schumacher, John N. The Propaganda Movement : 1880 - 1895 : The Creation Of A Filipino....... Rev. ed. Quezon City : ADMU Press, c1997."
"0000000114","Dionisio, Purita G. Journeying Life With God 4 : Living God's Love. Manila : Rex Book Store, c2002."
"0000000139","H M Deitel [et al.]. Visual Basic 6 How To Program. Upper Saddle River, New Jersey : Prentice Hall, c1999."
"0000000147","Zitzewitz, Paul W. Physics:  Principles And Problems. Teacher Wraparound Edition ed. Westerville : Westerville Glencoe / McGraw-Hill, c1999."
"0000000148","[et al.]. Fun With Computers Elementary Dos. Quezon City : Book Craft Publishing, c1996."
"0000000149","Pineda, Dorina G. Home Economics And Livelihood Education 4. Manila : St. Augustine Publication, c1994."
"0000000150","No Authors Found. The Age Of Calamity: 1300-1400 Ad. [s.n.] : Amsterdam:  Time-Life Books, Inc., c1989."
"0000000151","Abel, Peter. Ibm Pc Assembly Language And Programming. Fourth Edition ed. Singapore : Prentice Hall, c1999."
"0000000152","Leonard M. Kennedy [et al.]. Guiding Children's Learning Of Mathematics. Ninth Edition ed. Australia : Wadsworth Thomson Learning, c2000."
"0000000153","Crogham, Richard V. The Development Of Philippine Literature In English. Quezon City : Phoenix Publishing House, Inc., c1975."
"0000000154","Gervase B. Busche [et al.]. Parallel Learning Structures:  Increasing Innovation In Bureaucracies. Menlo Park, California : Addison, Wesley Publishing Co., c1991."
"0000000155","Alba, Rene. Book Of World Famous Poems:  With A Prose Supplement. Manila : No publisher found., c1996."
"0000000156","Francisca Reyes Aquino. Fundamental Dance Steps And Music. [s. N.] : [s. l.], c1952."
"0000000157","Anton Chekhov. Four Great Plays - Translated By Constance Garnett. Toronto : Bantam Books, c1923."
"0000000158","Robert Sedgewick. Algorithms In C. Harlow, England : Addison Wesley, c1998."
"0000000159","J. Stephen O'brien [et al.]. Personnel Issues And The Catholic School Administrator. No Place Found. : National Catholic Educational Association, c1986."
"0000000160",". Reader's Digest:  Illustrated Story Of World War Ii. Pleasantville, N. Y. : Readers Digest Association, c1969."
"0000000161","A. J. Van Essen [et al.]. The Contest Of Foreign Language Learning. Netherlands : Van Gorcum S Company, c1975."
"0000000162","Prof. Jose N. Nolledo. The Comprehensive Agrarian Reform Land Of 1988 As Amended. Caloocan City : Philippine Graphic Arts, Inc., c1995."
"0000000163","Fe O. Aquino. College English. Mandaluyong City : National Book Store, c2000."
"0000000164","Christine B. Chanco. Biological Science. [s.n.] : [s.n.], c1997."
"0000000165","Whitney French Botton. A Living Languages:  The History And Structure Of English. New York : Random House, c1982."
"0000000166","Michael Broers. The Hutchinson Encylopedia. 99 Edition ed. United Kingdom : Helicon Publishing Ltd, c1998."
"0000000167","Ramon B. Agapay. Ethics And The Filipino:  A Manual On Morals For Students And Educators. Mandaluyong City : National Book Store, c1999."
