"accessno","callnum","title","locaidno","edition","volume","isbn","publidno","publisher","place","counidno","copyright","pages","copies","dpurchased","amount","physdesc","typeidno","clasidno","ddc","ddcdeci","cateidno","borrowed","ddue","selected"
"0000050017","959.906 Al9k","The Katipunan And The Revolution : Memoirs Of A General With The Original Tagalo","002",,,"971-550-077-3 (pbk)",,"ADMU Press","Quezon City","0000155","1992","498","1","  -   -",0,,"959","010","959",,"001",FALSE,"  -   -",FALSE
"0000750019","909 z1k","Kasaysayan Ng Daigdig","002","3rd",,"971-642-011-0",,"All Nations Publishing Company","Quezon City","0000155","1994","452","1","  -   -",0,,"909","010","909",,"001",FALSE,"  -   -",FALSE
"0000050020","GS Fil. 959 Scht 1997","The Propaganda Movement : 1880 - 1895 : The Creation Of A Filipino.","002","Rev.","I","971-550-209-1 (pbk)","0000000002","Rex Publishing Company","Quezon City","0000155","1997","333","1","  -   -",0,,"959","010","959",,"001",TRUE,"  -   -",FALSE
"0000050023","268.432 D62e","Journeying Life With God 2 : Encountering God's Love 2","002",,,"971-23-3158-X",,,"Manila","0000089","2002","269","1","  -   -",0,,"268","003","268",,"003",TRUE,"  -   -",FALSE
"0000050024","GS 268.432 D62j","Journeying Life With God 4 : Living God's Love","002",,,"971-23-3160-1",,"Rex Book Store","Manila","0000155","2002","300","2","  -   -",0,,"268","003","268",,"003",FALSE,"  -   -",FALSE
"0000050025","GS 268.432 C11w","Journeying Life With God 6 : Witnessing Christ's Love","003",,,"971-23-3162-8",,,"Manila","0000155","2002","320","1","  -   -",0,,"268","003","268",,"003",FALSE,"  -   -",FALSE
"0000050026","GS 268.432 Oa6b","Journeying Life With God 3 : Believing God's Love","002",,,"971-23159-8",,"Rex Book Store","Manila","0000155","2002","233","1","  -   -",0,,"268","003","268",,"003",FALSE,"  -   -",FALSE
"0000050027","GS 370.114 D38l","Legacy 5","002",,,"971-655-120-7",,"JO-ES Publishing and Printing House","Valenzuela City","0000155","2001","213","1","  -   -",0,,"370","004","370",,"003",FALSE,"  -   -",FALSE
"0000050028","GS 370.114 Ag2l","Legacy 1","002",,,"971-655-116-9",,"JO-ES Publishing House","Valenzuela City","0000155","2001","161","1","  -   -",0,,"370","004","370",,"003",FALSE,"  -   -",FALSE
"0000050029","G.S. 005.101 F11b","Basic Computer Concepts 5 : Programming Using Basic Advance","002",,,"971-655-134-7","0000000001","AFGARHouse of Books","Valenzuela City","0000155","2002","106","1","  -   -",0,,"000","001","000",,"003",FALSE,"  -   -",FALSE
"0000050030",,"Children's Computer Literacy 6 : A Workbook In Computer Education For Grade 6","002",,,"971-23-1884-2",,"Rex Bookstore","Manila","0000157","1996","95","1","  -   -",0,,,,,,,FALSE,"  -   -",FALSE
"0000050031","GS 370.114 Sa5l","Legacy 2","002",,,"971-655-117-1",,"JO-ES Publishing and Printing House","Valenzuela City","0000155","2001","190","1","  -   -",0,,"370","004","370",,"003",FALSE,"  -   -",FALSE
