"counidno","country"
"0000001","Afghanistan"
"0000002","Albania"
"0000003","Algeria"
"0000004","American Samoa"
"0000005","Andorra"
"0000006","Angola"
"0000007","Anguilla"
"0000008","Antigua and Barbuda"
"0000009","Argentina"
"0000010","Armenia"
"0000011","Aruba"
"0000012","Australia"
"0000013","Austria"
"0000014","Azerbaijan"
"0000015","Azores"
"0000016","Bahamas"
"0000017","Bahrain"
"0000018","Bangladesh"
"0000019","Barbados"
"0000020","Belau"
"0000021","Belgium"
"0000022","Belize"
"0000023","Belorussia"
"0000024","Benin"
"0000025","Bermuda"
"0000026","Bhutan"
"0000027","Bolivia"
"0000028","Bosnia"
"0000029","Botswana"
"0000030","Brazil"
"0000031","Brit. Antartica Ter."
"0000032","Brit. Ind. Ocean"
"0000033","Brunei"
"0000034","Bulgaria"
"0000035","Burkina Faso"
"0000036","Burma"
"0000037","Burundi"
"0000038","Cambodia"
"0000039","Cameroon"
"0000040","Canada"
"0000041","Canary Island"
"0000042","Cape Verde Island"
"0000043","Cayman Island"
"0000044","Central African Rep."
"0000045","Chad"
"0000046","Chile"
"0000047","China"
"0000048","Columbia"
"0000049","Comoros"
"0000050","Congo"
"0000051","Costa Rica"
"0000052","Croatia"
"0000053","Cuba"
"0000054","Cyprus"
"0000055","Czech Republic"
"0000056","Denmark"
"0000057","Djibouti"
"0000058","Dominica"
"0000059","Dominican Rep."
"0000060","Ecuador"
"0000061","Egypt"
"0000062","El Salvador"
"0000063","Equatorial Guinea"
"0000064","Estonia"
"0000065","Ethiopia"
"0000066","Falkland Island"
"0000067","Faroe Island"
"0000068","Fiji"
"0000069","Finland"
"0000070","France"
"0000071","French Guiana"
"0000072","French Polynesia"
"0000073","Gabon"
"0000074","Gambia"
"0000075","Georgia"
"0000076","Germany"
"0000077","Ghana"
"0000078","Gibraltar"
"0000079","Greece"
"0000080","Greenland"
"0000081","Grenada"
"0000082","Guadeloupe"
"0000083","Guam"
"0000084","Guatemala"
"0000085","Guinea"
"0000086","Guinea-Bissau"
"0000087","Guyana"
"0000088","Haiti"
"0000089","Honduras"
"0000090","Hong Kong"
"0000091","Hungary"
"0000092","Iceland"
"0000093","India"
"0000094","Indonesia"
"0000095","Iran"
"0000096","Iraq"
"0000097","Ireland"
"0000098","Israel"
"0000099","Italy"
"0000100","Ivory Coast"
"0000101","Jamaica"
"0000102","Japan"
"0000103","Jordan"
"0000104","Kazakhstan"
"0000105","Kenya"
"0000106","Kirghizia"
"0000107","Kiribati"
"0000108","Korea"
"0000109","Kuwait"
"0000110","Laos"
"0000111","Latvia"
"0000112","Lebanon"
"0000113","Lesotho"
"0000114","Liberia"
"0000115","Libya"
"0000116","Liechtenstein"
"0000117","Lithuania"
"0000118","Luxembourg"
"0000119","Macau"
"0000120","Macedonia"
"0000121","Madagascar"
"0000122","Malawi"
"0000123","Malaysia"
"0000124","Maldives"
"0000125","Mali"
"0000126","Malta"
"0000127","Martinique"
"0000128","Mauritania"
"0000129","Mauritius"
"0000130","Mexico"
"0000131","Micronesia"
"0000132","Moldavia"
"0000133","Monaco"
"0000134","Mongolia"
"0000135","Montserrat"
"0000136","Morocco"
"0000137","Mozambique"
"0000138","Namibia"
"0000139","Nauru"
"0000140","Nepal"
"0000141","Netherlands"
"0000142","Neths. Antilles"
"0000143","New Caledonia"
"0000144","New Zealand"
"0000145","Nicaragua"
"0000146","Niger"
"0000147","Nigeria"
"0000148","Norway"
"0000149","Oman"
"0000150","Pakistan"
"0000151","Panama"
"0000152","Papua New Guinea"
"0000153","Paraguay"
"0000154","Peru"
"0000155","Philippines"
"0000156","Poland"
"0000157","Portugal"
"0000158","Puerto Rico"
"0000159","Qatar"
"0000160","Reunion"
"0000161","Romania"
"0000162","Russia"
"0000163","Rwanda"
"0000168","San Mario"
"0000169","Sao Tome and Principe"
"0000170","Saudi Arabia"
"0000171","Senegal"
"0000172","Seychelles"
"0000173","Sierra Leone"
"0000174","Singapore"
"0000175","Slovak Republic"
"0000176","Slovenia"
"0000177","Solomon Island"
"0000178","Somalia"
"0000179","South Africa"
"0000180","Spain"
"0000181","Sri Lanka"
"0000164","St Christopher"
"0000165","St Lucia"
"0000166","St Pierre"
"0000167","St Vincent"
"0000182","Sudan"
"0000183","Surinam"
"0000184","Swaziland"
"0000185","Sweden"
"0000186","Switzerland"
"0000187","Syria"
"0000188","Taiwan"
"0000189","Tajikistan"
"0000190","Tanzania"
"0000191","Thailand"
"0000192","Togo"
"0000193","Tokelau"
"0000194","Tonga"
"0000195","Trinidad and Tobago"
"0000196","Tunisia"
"0000197","Turkey"
"0000198","Turkmenistan"
"0000199","Turks and Caicos Island"
"0000200","Tuvalu"
"0000201","Uganda"
"0000202","Ukraine"
"0000203","United Arab Emirates"
"0000204","United Kingdom"
"0000205","United States"
"0000206","Uruguay"
"0000207","Uzbekistan"
"0000208","Vanuatu"
"0000209","Vatican City"
"0000210","Venezuela"
"0000211","Vietnam"
"0000213","Virgin Island (UK)"
"0000212","Virgin Island (US)"
"0000214","Western Sahara"
"0000215","Western Samoa"
"0000216","Yemen"
"0000217","Yugoslavia"
"0000218","Zaire"
"0000219","Zambia"
"0000220","Zimbabwe"
