"typeidno","clasidno","booktype"
"000","001","Generalities"
"001","001","Knowledge and its extension"
"002","001",
"003","001","Systems"
"004","001",
"005","001",
"006","001",
"007","001",
"008","001",
"009","001",
"010","001","Bibliographies and catalogs"
"011","001","General Bibliographies"
"012","001","Of Individuals"
"013","001","Of works by specific classes of writers"
"014","001","Of anonymous and pseudonymous works"
"015","001","Of works from specific places"
"016","001","Of specific subjects"
"017","001","General Subject Catalog"
"018","001","General Author and date catalogs"
"019","001","General dictionary catalogs"
"020","001","Library and Information Sciences"
"021","001","The Library and Society"
"022","001","Physical Plant of Libraries"
"023","001","Personnel and positions"
"024","001","Regulations for use of libraries"
"025","001","Library operations"
"026","001","Libraries for specific subjects"
"027","001","General Libraries"
"028","001","Reading and reading aids"
"029","001","Documentation"
"030","001","General Encyclopedic works"
"031","001","American"
"032","001","Others in English"
"033","001","In other Germanic languages"
"034","001","In French, Provengal, Catalan"
"035","001","In Italian, Romanian, Rhaeto-Romanic"
"036","001","In Spanish and Portuguese"
"037","001","In Slavic languages"
"038","001","In Scandinavian languages"
"039","001","In other languages"
"040","001",
"041","001",
"042","001",
"043","001",
"044","001",
"045","001",
"046","001",
"047","001",
"048","001",
"049","001",
"050","001","General serial publications"
"051","001","American"
"052","001","Others in English"
"053","001","In other Germanic languages"
"054","001","In Frenc, Provincal, Catalan"
"055","001","In Italian, Romanian, Rhaeto-Romanic"
"056","001","In Spanish and Portuguese"
"057","001","In Slavic Languages"
"058","001","In Scandinavian languages"
"059","001","In other languages"
"060","001","General Organizations and museums"
"061","001","In North America"
"062","001","In England and Wales"
"063","001","In central Europe"
"064","001","In France and Monaco"
"065","001","In Italy and adjacent territories"
"066","001","In Iberian Peninsula and adjacent Islands"
"067","001","In eastern Europe"
"068","001","In other areas"
"069","001","Museum science"
"070","001","Journalism, publishing, newspapers"
"071","001","In North America"
"072","001","In England and Wales"
"073","001","In cetral Europe"
"074","001","In France and Monaco"
"075","001","In Italy and adjacent territories"
"076","001","In Iberian Peninsula and adjacent islands"
"077","001","In eastern Europe"
"078","001","In Scandinavia"
"079","001","In other area"
"080","001","General collections"
"081","001","American"
