"accessno","subject"
"0000000064","Marketing Management"
"0000000067","Partnership"
"0000000067","Corporation"
"0000000071","Marketing Management"
"0000000082","Marketing Management"
"0000000077","Marketing"
"0000000073","Partnership"
"0000000073","Corporation"
"0000000081","Pharmaceutical Arithmetic"
"0000000081","Emergency Medicine -mathematics"
"0000022263","Management Of Distribution (Marketing)"
"0000000084","Creative Activities"
"0000000086","Medical Ethics"
"0000000087","Budget"
"0000000088","Pediatric Nursing--examination, Questions, Etc."
"0000000088","Pediatric Nursing - Outlines, Syllabi,etc"
"0000000089","Nursing"
"0000000090","Food Service - Australia"
"0000000090","Quantity Cookery"
"0000000090","Caterers And Catering - Australia"
"0000000091","Conducts Of Meetings"
"0000000092","Emergency Medicine"
"0000000093","Hotel Housekeeping - Management"
"0000000093","Hotel And Motel Management And Operations"
"0000000094","Waiters - Handbooks, Manuals, Etc."
"0000000094","Witnesses - Handbooks, Manuals, Etc."
"0000000094","Table Service - Handbooks, Manuals, Etc.."
"0000000098","Waiters-handbooks, Manuals, Etc."
"0000000098","Waitresses-handbooks, Manuals, Etc."
"0000000098","Table Service-handbooks, Manuals, Etc."
"0000000099","Business Accounting"
"0000000099","Business Accounting"
"0000000105","Art-study And Teaching (elementary)-united States"
"0000000105","Art-study And Teaching (secondary)-united States"
"0000000139","Computers"
"0000000139","Programming"
"0000000147","Physics"
"0000000148","System Programming"
"0000000149","Home Economics"
"0000000150","War, Hundred Years"
"0000000150","Empire, Ottoman"
"0000000150","China - History"
"0000000150","Empires, African"
"0000000150","World History"
"0000000151","Programming - Ibm Pc And Assembly Language"
"0000000151","Programming Languages. I. Title"
"0000000152","Mathematics - Study And Teaching (elementary)"
"0000000153","Philippine Literature - English I. Title."
"0000000154","No Subjects Found."
"0000000155","Poetry. I. Title"
"0000000157","Fiction"
"0000000158","No Subjects Found."
"0000000159","Personnel Management"
"0000000159","Personnel Issues"
"0000000160","World War, 1939-1945 Pictorial Works"
"0000000160","The Readers Digest:  Illustrated Story Of World Wa"
"0000000161","Foreign Languages"
"0000000162","Land Reform Law"
"0000000163","English Language"
"0000000164","Biological Science"
"0000000165","English Language - History"
"0000000166","Encyclopedia Hutchinson"
"0000000167","Ethics"
"0000000168","Computer Concepts"
"0000000170","Psychology"
"0000000172","Land Reform"
"0000000173","Contemplation"
"0000000173","Spiritual Life"
"0000000174","Computer Science - Dictionaries"
"0000000156","Dance Music"
"0000000177","Sumer History"
"0000000177","Egypt History"
"0000000177","Empires Aegean"
"0000000177","Asian History"
"0000000177","World History"
"0000000175","Guitars And Music"
"0000000190","Education, Elementary-united States"
"0000000190","Curriculum Planning-united States"
"0000000190","Curriculum Evaluation-united States"
"0000000191","Heat-transmission"
"0000000192","Jack Welch (leadership)"
"0000000193","Machinery, Kinematics Of"
"0000000193","Machinery, Dynamics Of"
"0000000194","Chemistry"
"0000000195","Grammar & Composition"
"0000000197","Riddles, Filipinio"
"0000000198","Cookery"
"0000000199","Cooking Processes & Techniques"
"0000000200","Cake Decorating"
"0000000201","Meditation"
"0000000201","Prayer"
"0000000201","Christian Fellowship"
"0000000202","Preachjng"
"0000000203","Gospel And Acts"
"0000000204","Gospel & Acts"
"0000000205","Mark"
"0000000206","Science - Study & Teaching(elementary)"
"0000000207","Church History"
"0000000208","Collection Development"
"0000000209","Science-study And Teaching (elementary) - Great Br"
"0000000210","Science-study And Teaching"
"0000000210","Educational Psychology"
"0000000211","Language Arts (preschool) -united States"
"0000000211","Reading (preschool) - United States"
"0000000211","Children - United States - Books And Reading"
"0000000212","Educational Tests And Measurements United States-"
"0000000212","Learning- Handbooks, Manuals Etc."
"0000000212","Educational Psychology - United States- Handbooks"
"0000000213","Social Sciences -- Study And Teaching (primary) --"
"0000000213","Social Sciences -- Study And Teaching (preschool)"
"0000000214","Mathematics -- Study And Teaching"
"0000000215","Report Writing"
"0000000216","Candles"
"0000000217","Quezon Province - History"
"0000000217","Quezon Province - Description And Travel"
"0000000218","Arts"
"0000000219","Art - Study And Teaching"
"0000000220","Library And Information Sciences"
"0000000221","Social Group - Young People"
"0000000222","Chemistry"
"0000000223","Health"
"0000000224","Basketball For Children - Coaching"
"0000000224","Basketball For Children - Training"
"0000000225","Language Arts (elementary)"
"0000000226","Mathematics--study And Teaching (primary)"
"0000000227","Anglo-american Cataloging Rules"
"0000000227","Descriptive Cataloging-rules"
"0000000228","History, Modern--1850-1900 (19th Century)"
"0000000228","India--history"
"0000000228","Africa--scramble"
"0000000229","Communication"
"0000000230","World Records"
"0000000208","Libraries - Collection Development"
"0000000232","Nursery Schools --united States -- Administration"
"0000000232","Day Care Centers - United States -- Administration"
"0000000232","Early Childhood Education -- United States"
"0000000233","Bible Stories"
"0000000233","Bible -- Picture"
"0000000234","Catechism, Roman Catholic -- Philippines"
"0000000235","Catechism - Roman Catholic"
"0000000236","Library Education - Handbook"
"0000000237","Mariology"
"0000000237","Mariology"
"0000000239","Dictionary - Audiovisual Aids"
"0000000240","Europe -- History"
"0000000240","Crusades"
"0000000240","Islam"
"0000000240","Southeast Asia"
"0000000240","World History -- 1100 - 1200 A.d."
"0000000241","World History -- 400 Bc - 200 Ad"
"0000000241","Persia -- History"
"0000000241","Rome - History"
"0000000241","India - History"
"0000000241","China -- History"
"0000000242","World History -- 200-600 A.d."
"0000000242","Rome -- History"
"0000000242","Middle East -- History"
"0000000242","China -- History"
"0000000242","South America -- History"
"0000000243","Christianity And Economics"
"0000000243","Ethics"
"0000000243","Economics"
"0000000245","Philippines -- Yearbook (1998)"
"0000000246","Life, Origin Of"
"0000000246","Man -- Origin"
"0000000247","Spiritual Healing"
"0000000248","Computer Systems"
"0000000248","Computer Operating Systems"
"0000000249","Bible - Dictionaries"
"0000000250","Excel - Computer Programs"
"0000000251","Teaching"
"0000000251","Classroom Management"
"0000000251","Lesson Planningteachers -- Training Of"
"0000000252","Computer Science - Dictionaries"
"0000000253","Basketball"
"0000000254","Geography, Historical -- Philippines"
"0000000255","Computer Systems"
"0000000256","Filipino - Heroes And Heroines"
"0000000256","Filipino - Biography"
"0000000257","Philippines - Guidebooks"
"0000000259","Philippines - Economic Policy"
"0000000260","Cookery - United States"
"0000000261","Calculus - Finite Differences"
"0000000265","Venice - Guidebook"
"0000000267","Statistics -behavioral Science"
"0000000268","System Analysi And Design"
"0000000269","Html (data Preparation & Representation, Records F"
"0000000270","Java 2 (computer Program Language)"
"0000000271","Eyes And Vision"
"0000000272","Machinery, Kinematics Of"
"0000000273","Basketball"
"0000000274","Philippines -- Yearbook (1999)"
"0000000206","Science -- Study And Teaching (elementary)"
"0000000178","Files And Filing"
"0000000277","Business"
"0000000277","Filipino Entrepreneur"
"0000000278","American Literature"
"0000000279","Food Service"
"0000000280","Food Service"
"0000000281","Philippines - Government History"
"0000000282","Chemistry"
"0000000282","Atomic Theory"
"0000000282","Periodic Law"
"0000000284","Mathematics - Elementary Education"
"0000000285","Physics"
"0000000286","Philippines -- Yearbook (2002)"
"0000000287","History - Philippines"
"0000000288","Novel-noli Me Tangere"
"0000000289","Geometry (h.s)"
"0000000290","Novel"
"0000000291","Religious Biography"
"0000000292","Christian - Observances In Family Life"
"0000000293","Physics"
"0000000294","Letters, Construction"
"0000000295","Bible, O.t."
"0000000296","Computer Systems"
"0000000297","Educational Technology - United States"
"0000000297","Educational Change - United States"
"0000000298","Time Almanac"
"0000000299","Prayer"
"0000000299","Meditation"
"0000000300","Multiple Intelligences"
"0000000301","Bibliography"
"0000000302","Research"
"0000000303","Shakespeare, William,1564-1616 - Bibliography"
"0000000304","Yearbook - Crimes And Punishment"
"0000000305","Reference Book"
"0000000306","Reference Book"
"0000000307","Pilipinas - Heograpiya, Kasaysayan At Pamahalaan"
"0000000308","World History"
"0000000309","General Encyclopedic Works"
"0000000310","Financial Institutions - United States"
"0000000310","Money - United States"
"0000000310","Money Market - United States"
"0000000310","Banks & Banking - United States"
"0000000311","Christianity And Culture"
"0000000311","Christian Life - Methodist Authors"
